"author","name","description","code"
"SthephanShi","Neurofunk","A modified version of this song is used in the salinewin.exe virus (among many others).","t*((t&4096?t%65536<59392?7:t&7:16)+(1&t>>14))>>(3&-t>>(t&2048?2:10))|t>>(t&16384?t&4096?10:3:2)"
"SthephanShi","Neurofunk - Fist punch version","","t*((t&4096?t%65536<59392?7:t>>6:16)+(1&t>>14))>>(3&-t>>(t&2048?2:10))|t>>(t&16384?t&4096?4:3:2)"
"SthephanShi","42 melody with adjustable decay","","t*(42&t>>10)%256*(1-t%2048/3000)"
"viznut","minimal sierpinski harmony","","t&t>>8"
"viznut","","","t*(((t>>12)|(t>>8))&(63&(t>>4)))"
"viznut","Sin() isn't kosher, people!","","(t>>6|t|t>>(t>>16))*10+((t>>11)&7)"
"viznut","Combined xpansive's and varjohukka's stuff","","(t>>7|t|t>>6)*10+4*(t&t>>13|t>>6)"
"viznut","Another attempt at melody construction","","(t*((3+(1^t>>10&5))*(5+(3&t>>14))))>>(t>>8&3)"
"viznut","moon scanner generalization","Unable to find the remix source.","((t>>5&t)-(t>>5)+(t>>5&t))+(t*((t>>14)&14))"
"viznut","Long Sierpinski Harmony","","(t*5&t>>7)|(t*3&t>>10)"
"tejeez","","","(t*(t>>5|t>>8))>>(t>>16)"
"tejeez","","","t*(((t>>11)&(t>>8))&(123&(t>>3)))"
"tejeez","Noisy beats","","((-t&4095)*(255&t*(t&(t>>13)))>>12)+(127&t*(234&t>>8&t>>3)>>(3&t>>14))"
"tejeez","Bassline #countercomplex","","(~t>>2)*((127&t*(7&t>>10))<(245&t*(2+(5&t>>14))))"
"visy","","","t*(t>>8*((t>>15)|(t>>8))&(20|(t>>19)*5>>t|(t>>3)))"
"sub","Oh the headaches","","(t >> 5) | (t << 3) + ( t * 12 * ( (t>>13) | ( (t>>1) | (t>>10) | (t>>2) ) & (t>>8) ) )"
"xpansive","Lost in Space","","((t*(t>>8|t>>9)&46&t>>8)) ^ (t&t>>13|t>>6)"
"miiro","Sierpinski harmony","","t*5&(t>>7)|t*3&(t*4>>10)"
"rrrola","I'm late to the party","","t*(4+(t>>9)%3)&t/3>>7&224"
"rrrola","CA98","","t*(0xCA98CA98>>(t>>9&30)&15)|t>>8"
"skurk, raer","Street Surfer","","(t&4096)?((t*(t^t%255)|(t>>4))>>1):(t>>3)|((t&8192)?t<<2:t)"
"tonic","mr. arpeggiator playing a solo","","(t/8)>>(t>>9)*t/((t>>14&3)+4)"
"tonic","mr. arpeggiator's cousin as bassist","","(t/4&0xf4)>>t/((t>>14&3)+4)"
"tonic","simple repeating bass","","((2*t&255)*(((-t)>>6)&0xff))>>8"
"frenzy","robot out of control","","(t&64|t>>5)^(t&33|t>>8)^(t&14|t>>9|t&76)^(t|187)^(t*(t>>8&838+t>>13)&644)"
"lucasvb","this shit is addictive","","(t>>6|t<<1)+((t>>5|t<<3)|t>>3)|t>>2|t<<1"
"Paralax","a quite complex one using conditionals","","(t&t*5|t>>6 | ((t&0xFFFF)>0x8000? (-6*t)/7 : ((t&0x1FFFF)>0x10000 ? -9*t&100 : (-9*(t&100)))/11))*10"
"µB","One-liner","","(64*(t>>3|t>>4|t>>9)+(t>>11&t<<2))^2*(t>>16|t|t>>7)+32*(t>>t&32)"
216,"""fractal trees"", 216's version","by 216 and Danharaj","t|t%255|t%257"
216,"","","t*(t^t+(t>>15|1)^(t-1280^t)>>10)"
"Lord Graga","Frere Jacques","","(t>>7|t*3|t>>(t>>15))*10+((t>>8)&5)"
"marmakoide","Lemmings March","","(t>>5)|(t<<4)|((t&1023)^1981)|((t-67)>>4)"
"marmakoide","string instruments, with a metallic triangle","","(t>>(t&7))|(t<<(t&42))|(t>>7)|(t<<5)"
"marmakoide","The fall of Derp Herp","","t*(0x13371337>>(t>>13&27)&127)|t>>4|t<<5"
"stephth","remix of miiro's 1-line symphony","","(t*9&t>>4|t*5&t>>7|t*3&t/1024)-1"
"stimmer","","","(t*(4|7&t>>13)>>((~t>>11)&1)&128) + ((t)*(t>>11&t>>13)*((~t>>9)&3)&127)"
"yumeji","generic 3/4 buildup","","t&0x256?t>>4:t>>10"
"krcko","Modem melody","","(t&t>>12)*(t>>4|t>>8)"
"ryg","slightly shorter version of rrola's","","t*(0xCA98>>(t>>9&14)&15)|t>>8"
"ryg","triangle waves","The general form is (t<&lt;N)^-(t<<(N-8)&1)","(t<<4)^-(t>>4&1)"
"ryg","a jaunty tune","","(t*(t>>12)*64+(t>>1)*(t>>10)*(t>>11)*48)>>(((t>>16)|(t>>17))&1)"
"skurk","music for a C64 game","","t*(t>>((t&4096)?((t*t)/4096):(t/4096)))|(t<<(t/256))|(t>>4)"
"tangent128","","","t * ( ((t>>9)&10) | ((t>>11)&24) ^((t>>10)&15&(t>>15)) )"
"Blueberry","Good old fractal melody","","t*(((t>>9)^((t>>9)-1)^1)%13)"
"droid","","","t>>6&1?t>>5:-t>>4"
"beyon","A bit long I suppose...but nice and soothing","","t>>6^t&0x25|t+(t^t>>11)-t*((t%24?2:6)&t>>11)^t<<1&(t&0x256?t>>4:t>>10)"
"harism","","","((t>>1%128)+20)*3*t>>14*t>>18"
"George","","","20 * t*t* (t >>11)/7"
"George","The new unnamed bytebeat by George on blogspot","","t*(t^t>>20*(t>>11))"
"Ola","music bugs","","((1-(((t+10)>>((t>>9)&((t>>14))))&(t>>4&-2)))*2)*(((t>>10)^((t+((t>>6)&127))>>10))&1)*32+128"
"Niklas_Roy","Arcade game","","( t* (( t>>9| t>>13 ) & 15)) & 129"
"Niklas_Roy","Clean melody","","t*(t>>9|t>>13)&16"
"Niklas_Roy","Louder clean melody","","9*(t*((t>>9|t>>13)&15)&16)"
"erlehmann","sine-nomath","","(t&0xF)*((0-t)&0xF)*(((t&0x10)>>3)-1)*0x80/0x41+0x80"
"erlehmann","crowd","","((t<<1)^((t<<1)+(t>>7)&t>>12))|t>>(4-(1^7&(t>>19)))|t>>7"
"wiretapped","","","t^t>>4^(t*((t>>(11+(t>>16)%3))%16))^t*3"
"wiretapped","","","t*(3+(t>>10)%(4+(t>>11)%8))|(t>>5)"
"wiretapped","","","t*(1+((t>>10)*(43+(2*(t>>(15-((t>>16)%13)))%8)))%8)*(1+(t>>14)%4)"
"wiretapped","","","(1+(t>>10)%7)*((t*(1+(t>>13)%4))%(24+(t>>14)*9%8)&16)*10"
"wiretapped","","","((t*(1|(t>>10-((t>>17)%4))%8))&(8<<((t>>13)%4))*((1|(t>>15)%8))) *11*(t>>10)"
"wiretapped","","","(((t>>((t>>12)%4))+t*(1+(1+(t>>16)%6)*((t>>10))*(t>>11)%8))^(t>>13))^((t>>6))"
"yehar","a bare-bones version","","t>>4|t*t*(t>>6&8^8)*(t>>11^t/3>>12)/(7+(t>>10&t>>14&3))"
"isislovecruft","","","((t*(t>>13|t>>8))|(t>>16)^t)-64"
"isislovecruft","","","((~t>>2)*(2+(42&t*((7&t>>10)*2))<(24&t*((3&t>>14)+2))))"
"r/bytebeat","The 8-bit echo","","(t-(t>>4&t>>8)&t>>12)-1"
"r/bytebeat","Wip","","(((t&t*5)|t>>4)+(t|t>>4*t<<8-1))^t>>12"
"r/bytebeat","Everything is broken","","(t*t/(1+(t>>9&t>>8)))&128"
"r/bytebeat","It wont stop","","t*((t/401)^(t/400))"
"r/bytebeat","Ststututterter","","(t*(-(t>>8|t|t>>9|t>>13)))^t"
"r/bytebeat","Waiver","","(((t/91)&t)^((t/90)&t))-1"
"r/bytebeat","Plucker v2","","((t/4)>>t/4)|(t>>2)"
"Anonymous from russian imageboards","1) THE SWINGS","From 2ch.so Generative Music and remixes vol.1","(t%262144<131072)?(((t/64)>>3&t*2&t*10)|(t>>5&t*6)&(t>>4|t>>5)):(t%262144>131072&t%262144<163840)?(t>>4&t*8)&(t>>5|t>>4)|(t*3&t*10):(t%262144>163840&t%262144<196608)?(t>>4&t*8)&(t>>5|t>>4)|(t*3&t*6):(t%262144>196608&t%262144<229376)?(t>>4&t*8)&(t>>5|t>>4)|(t*4&t*6):(t%262144>229376&t%262144<245760)?(t>>4&t*8)&(t>>5|t>>4)|(t*4&t*2):(t>>4&t*8)&(t>>4)|(t*4&t*2)>>20"
"Anonymous from russian imageboards","2) ZEMFIRA","","((t*40>>430|t*40>>4)*430)"
"Anonymous from russian imageboards","7) RICK ROLL","","t>125000?t*4.238:t>124375?t*0.01:t>125000?t*4.238:t>122500?t*4.757:t>120000?t*3.364:t>118750?t*0.01:t>115000?t*3.364:t>113750?t*3.564:t>110000?t*4:t>108750?t*0.01:t>106250?t*4.757:t>105000?t*0.01:t>102500?t*4.238:t>101250?t*3.564:t>100000?t*4.238:t>98750?t*3.564:t>97500?t*3.175:t>95000?t*3.564:t>93750?t*4:t>91250?t*4.238:t>90000?t*0.01:t>87500?t*4.757:t>86250?t*0.01:t>83750?t*4.757:t>82500?t*3.564:t>81250?t*4.238:t>80000?t*3.564:t>78750?t*3.175:t>77500?t*0.01:t>72500?t*4.757:t>71250?t*0.01:t>68750?t*5.339:t>67500?t*0.01:t>65000?t*5.339:t>63750?t*3.564:t>62500?t*4.238:t>61250?t*3.564:t>60000?t*3.175:t>52500?t*3.175:t>45000?t*4.757:t>36250?t*4.283:t>35000?t*5.339:t>33750?t*5.657:t>32500?t*6.35:t>25000?t*5.656:t>20000?t*5.04:t>18500?t*3.36:t>7500?t*5.04:t*4.236"
"Anonymous from russian imageboards","9) SADLY","","((t*4>>43|t*4>>4)*43)"
"Anonymous from russian imageboards","11) THE HIT OF THE SEASON","","(t>0&t<65535?t%32>(t/10000)?t>>4:t>>6:0+t>65535&t<65535*2?t%32>(t%43)?t>>4:t>>6:0+t>65535*2&t<65535*3?t%36>(t%43)?t>>4:t>>6:0+t>65535*3&t<65535*4?t%64>(t%43)?t>>4:t>>6:0+t>65535*4&t<65535*5?t%43>5?t<<3:t>>6:0+t>65535*5&t<65535*6?t%27>5?t<<3:t>>6:0+t>65535*6&t<65535*8?t%63>5?t<<3:t>>6:0)&(t>>4)"
"Anonymous from russian imageboards","15) FRACTAL","","((t*2>>43|t*3*5>>4)*19)&(t*7>>172)/2"
"Anonymous from russian imageboards","Extraordinary thread of FRACTAL MUSIC","","((t>>4+t%34)|(t>>5+t%(43+(t/7777%8>4?3:0))))|(t/4)|((t/8)%32+3)"
"Anonymous from russian imageboards","Electrohouse","Part of the ""Extraordinary thread of FRACTAL MUSIC""","t>>(((t%2?t%((t>>13)%8>=2?((t>>13)%8>=4?41:51):61):t%34)))|(~t>>4)"
"radavis","magical","","((t*9)&(t>>4))|(t*5&t>>7)|(t*3&t/1024)-1"
"cce","fiesta","","((t * (3 + (4 + ((t >> 12) % 2))*(t >> 10) % 7)) & 0x80) * 0.5 * (0.15 + (((t>>9) % 2)))"
"Gabriel Miceli","New Sawtooth Music","","t*((t-2296&t)>>11)"
"Gabriel Miceli","Song by Gabriel Miceli","","(t&t+t/256)-t*(t>>15)&64"
"SArpnt","pwm serpinski harmony","","t&(t>>7)-t&t>>8"
"SArpnt","i don't have a name for this","","(t*3&t>>6)%76"
"RealZynx92","remix of ""Meowing cat""","","t*((t/2>>10|t%16*t>>8)&8*t>>12&18)|-(t/16)+64"
"Chasyxx","Electrohouse2","","t>>t%(t%2?t&32768?41:t&16384?51:61:34)&(t/9&t/7|t/5&t/3|t|t*3&t*5|t*7&t*9)>>4"
"Chasyxx","WARP_TUNNEL","","((t*2)+2)^(t*(1<<(((t>>8)^(t>>8)+(t>>16))+1)%7))"
"Chasyxx","C-trixtraria","","t>>17>14?0:(t>>17==5||t>>17==12||t>>17>12?((t*(t>>16&1?t>>15&1?36:38:t>>15&1?32:27)/((2-(2523490710>>(t>>10&31)&1))*(t>>17>7?3:6)))&(t>>17==14?96:192))-(t>>17>12?0:(t>>11&t&15)):(37649&1<<(t>>10&15)?(int)(((t+314)*128/((t>>5&31)+1)&255)/85)*85:0)|(t>>17?(((t*(t>>16&1?t>>15&1?36:38:t>>15&1?32:27)/(t>>17>5?((2-(2523490710>>(t>>10&31)&1))*(t>>17>7?3:6)):12))&192)+(t>>18?t&15:0))*(t>>18?128+(t>>6&127):128)/128-(t>>17>2?(t>>11&15):0):0))"
"kOLbOSa_exe","OUR task is infinity","","t*(((t>>11&(t>>12))*(t>>8&(t>>16)))%34)+4e5/(t&4095)"
"rubi","combination Fanfare + CA98","","t*(0x21CA52CA>>(t>>9&30)&14)+t*(0xCACACACA>>(t>>9&30)&14)&t>>4"
"Decent-Manager-6169","stimmer but square and sawtooth are swap","","(t/2*(4|7&t>>13)>>(~t>>11&1)&127)+(t*2*(t>>11&t>>13)*(~t>>9&3)&128)"
"Decent-Manager-6169","stimmer but its all sawtooth","","(t/2*(4|7&t>>13)>>(~t>>11&1)&127)+(t*(t>>11&t>>13)*(~t>>9&3)&127)"
"Decent-Manager-6169","stimmer but its all square","","(t*(4|7&t>>13)>>(~t>>11&1)&128)+(t*(t>>11&t>>13)*(~t>>9&3)&64)"
"Decent-Manager-6169","Completely Reverse of ""rrrola""","","-t*(0xCA98CA98>>(-t>>9&30)&15)|-t>>8"
"GolezTrol","Send in the Clowns (if that makes it stop) ","Lovebyte 2022 competition.","t>>4|(t>>12)+(222&(t*(1+(7685152>>(t>>12)&15)/8)))"
"lhphr","Logics, and?","Tried to utilize the logical AND operator.","t&(165&t%255)&&t/256*(t&t>>12)"
"lhphr","Fractalized Past","Sounds familiar...","(t>>10^t>>11)%5*((t>>14&3^t>>15&1)+1)*t%99+((3+(t>>14&3)-(t>>16&1))/3*t%99&64)"
"Anonymous","I have made a thing#2","","(t>>10|t*5)&(t>>8|t*4)&(t>>4|t*6)"
"k0370_","—","","((t*t>>9|t*(t>>16))|t>>4)"
"k0370_","beat thing","","((t*6&t>>5|127*t>>4)>>t/64&t>>5|t>>4|t>>t/64)"
"k0370_","first made it","","t+(t&1)+(t>>5)*(t>>1)/1|t>>4|t>>8"
"Devan Wolf","Stand, Back, You...","","(t>>(t>>(t>>12&15)))>>t"
"Devan Wolf","Some kind of Non-JS echo effect I discovered?","","((t*(t>>12))<<(-t>>10&7))&-t>>2"
"Devan Wolf","Nice stepdown effects there","","t*(t>>(t>>10&7)&t>>12)"
"Devan Wolf","Cool percussion track","","-t*(t>>3|t>>4|t>>5|t>>6|t>>7)-t"
"Devan Wolf","Inchwormy Beat","","t<<(t>>8)*231"
"Devan Wolf","Tunnel sounds music?","","(43*(t|t>>11)&255)*(8|~t>>6&55)>>6"
"Devan Wolf","Another cellular melody","","(t<<1&t*3&-t>>5&t>>10)-1"
"Devan Wolf","Combination stimmer + Street Surfer","","(t*(4|t>>13&3)>>(~t>>11&1)&128|t*(t>>11&t>>13)*(~t>>9&3)&127)^(t&4096?(t*(t^t%255)|t>>4)>>1:t>>3|(t&8192?t<<2:t))"
"May_I_Change_My_Name","BM9 harmony","","2*t&(t>>8)|5*t&(t>>7)|9*t&(t>>4)|15*t&(t>>4)"
"orion_aboy","1fcccf1 (c compatible version)","","((((t>>1)*(1<<(t>>16&3)))*((0x1fccccf1>>(t>>10)*(t>>11))&7))|t>>3)|128-((t&4095)>>8?0:t*(t^t%9)&63|t>>2)"
"psubscirbe","wheezing modem + moon scanner generalization","","(t-(t^t>>5)+t*(t>>14&14)&255)/2+(100*((t<<2|t>>5|t^63)&(t<<10|t>>11))&255)/2"
"wyngwyrm","WhiskedAwayToPomerania","","t>>9&(2*t&8*t|t/32&36*t&18*t&9*t|t/128&32*t&t/64*t|t/16&t/4|t/32&t/16|t/12&t/8&t/6)"
"aturned777","slightly improved version of rrola's","","t*(0xCA98CA98CA98>>(t>>9&(t>>10))&15)&t>>8"
"aturned777","Modem melody rhythm","","(-t&(t>>4&t>>4)&t>>11)-1&-t>>4"
"Zackx","42 melody with decay","","t*((42&t>>10))%256*(-t&2047)/2e3"
"Zackx","combination bassline + isislovecruft","","((-t>>2&255)*((127&t*(7&t>>10))<(245&t*(2+(5&t>>14))))%256+(-t>>2&255)*(2+(42&2*t*(7&t>>10))<(24&t*((3&t>>14)+2)))%256)/2"
"Zackx","Combination stimmer + Street Surfer fix up","","((t*(4|t>>13&3)>>(~t>>11&1)&128|t*(t>>11&t>>13)*(~t>>9&3)&127)&255)/2+((t&4096?(t*(t^t%255)|t>>4)>>1:t>>3|(t&8192?t<<2:t))&255)/2"
"Zackx","happiness","","(t*(2&t>>10|(t>>10&18)-8)&128)*(-t>>2&255)>>7"
"Zackx","80s video game noise","","(t*(3&-t>>8|(t>>10&9)+4*(6&t>>10)+4)&128)*(-t>>2&255)>>7"
"Zackx","just focus","","(t*(2&t>>10|(t>>10&9)-4*(3&t>>15)+3)&128)*(-t>>2&255)>>7"
"Zackx","C compatible instruments","","t>>3&127|t>>4&128|t>>3&128"
"Zackx","C compatible instruments","","t>>3&127|t>>4&128|t>>3&128|(t&4096?t&8192?64:0:0)"
"Zackx","non-js echo","","t>>2&t<<(7&~t>>10)"
"Cool_ObbyDeveloper","t*","","t*((t>>12|t>>9)&241&t>>4)"
"ANON256-64","frequency dancer","","(t%125&t>>8)|t>>4|t*t>>8&t>>8"
"absolute197","H_YPN0T1Z3%","","(t>>3&1)*t>>3^t/128*t"
"SleepingLugia","Tune 5","","(t*((t>>9|t>>11)%7*(~t>>8&2))&64)+(t*((t>>9|t>>8)%7*(~t>>8&2))&64)+(t*((t>>9|t>>12)%7*(~t>>9&2))&64)"
"awogler9124812041","attempt at making a c-compatible song","","t*(t>>12&1?(4-(1&t>>1))>>(3&t>>2):1)*((t>>13&2)+1)*((t>>14&4)+1)|t>>3"
"ANoUserXD","Atari sound discovered?","","t*(0xAFEDC320>>t/(6-(t>>10&13))&1)?128:0"
"ANoUserXD","Fractal trying to make music","","(1+(t>>12))*(t^t+(t>>8&3|t>>9&11|-t>>10&14))"
"PortablePorcelain","C-compatible(?) Intolerable Claps","","((t*((2*t>>11&t>>13)%11%9%7)>>1)&127)+((((t>>11)+2&3)?0:1)*(-t>>4&127)*(((t>>2^-(t&t>>2))*t)&255)>>8)+((-t>>12&7?(-t>>11&1):1)*(5000/(t%2048?t%2048:1))&128)"
"PortablePorcelain","Basics","","((t&3072?(2048+t%4096)%3072/12:0)*((10*(t>>6|t|t>>(t>>16&3))+(7&t>>11))%256)>>8)+(t&3072?0:(((t%256)*(1024-t%1024)/3>>6&128)>>(t>>8&15)))"
"Butterroach","42 melody but ternary operations","","t*((t>>11)%32==0|(t>>11)%32==2|(t>>11)%32==8|(t>>11)%32==10?0:(t>>11)%32==1|(t>>11)%32==3|(t>>11)%32==9|(t>>11)%32==11?2:(t>>11)%32==4|(t>>11)%32==6|(t>>11)%32==12|(t>>11)%32==14?8:(t>>11)%32==16|(t>>11)%32==18|(t>>11)%32==24|(t>>11)%32==26?32:(t>>11)%32==17|(t>>11)%32==19|(t>>11)%32==25|(t>>11)%32==27?34:(t>>11)%32==20|(t>>11)%32==22|(t>>11)%32==28|(t>>11)%32==30?40:(t>>11)%32==21|(t>>11)%32==23|(t>>11)%32==29|(t>>11)%32==31?42:10)"
"Butterroach","chip","","(t&1024||t&16384&&t&2048&&!(t&512))?(t&4096&&!(t&2048)?(t*t*t>>~t*t)+127:t*((t>>11&1)+1)*(1+(t>>16&1)*3))*2:0"
"Dr_Dogan420","YAAAAY","","(t*43532>>233)*(t>>325)|t>>2543"
"MasterNama_12803","world cup-y effect","","t*(((t>>7)&24)&t>>8|(t>>10)&40)|((t>>4|t)&42|(t>>2)&t>>7)|((t>>6)&4)"
"87634218675342698753","robot toothbrush","","((t/800|10)*t&85)-t&t/4"
"Zera12873","messing around with ""0x___""","","t>>2|(0xC098C098>>(t>>10))*t|t>>10"
"SamsaDev","Sequen_0x6","","(((t*(t>>30|t>>13)/2)) >> (t*(t>>50|t>>10)&7^t>>7|t>>82)) | (t>>4|t>>4) >> (t&(t/0x6))"
"TrashImpossible3699","whar","","(-t>>2)*(t<<5&t>>2&t>>7&t*3&t>>5)/256"
"feeshbread","sounds like there is delay","","(t>>2)*(t>>6)|(t>>3)^t>>4"
